#C 2015 Widow Rockfish Assessment
#C Allan C. Hicks and Chantel R. Wetzel
#C NWFSC, NOAA, Seattle, WA

1916  #_styr
2014  #_endyr
1   #_nseas
12    #_months/season
1   #_spawn_seas
5   #_Nfleet
4   #_Nsurveys
1   #_N_areas

BottomTrawl%MidwaterTrawl%Hake%Net%HnL%JuvSurvey%Triennial%NWFSC%ForeignAtSea
#BTr  MTr  Hak  Net  HnL  JvS  Tri  NWS  FAS
# 1    2     3   4    5    6    7    8    9
0.5   0.5  0.5  0.5  0.5  0.5  0.55 0.65 0.5  #Fleet and survey timing in season
 1     1    1    1    1    1    1    1    1   #Area of each fleet and survey
 1     1    1    1    1                    #Units of each fleet: 1=Biomass(mt),2=Numbers(1000s)
0.01  0.01 0.01 0.01 0.01                  # SE of log(catch) by fleet for equilibrium and continuous options

2                                          #_Ngenders
40                                         #_Nages
 0    0    0     0    0                    #_init_equil_catch_for_each_fishery

99      #_N_lines_of_catch_to_read
#_catch_biomass(mt):_columns_are_fisheries,year,season
#BottomTrawl  MidwaterTrawl Hake  Net HnL Year  Season
6.20     0.00     0.00     0.00    72.11 1916  1
9.63     0.00     0.00     0.00    112.22  1917  1
11.23    0.00     0.00     0.00    128.84  1918  1
7.80     0.00     0.00     0.00    88.90 1919  1
7.96     0.00     0.00     0.00    91.01 1920  1
6.58     0.00     0.00     0.00    75.48 1921  1
5.66     0.00     0.00     0.00    65.58 1922  1
6.14     0.00     0.00     0.00    72.10 1923  1
3.62     0.00     0.00     0.00    46.64 1924  1
3.06     0.00     0.00     0.00    59.17 1925  1
8.68     0.00     0.00     0.00    85.96 1926  1
11.74    0.00     0.00     0.00    66.81 1927  1
16.60    0.00     0.00     0.00    72.80 1928  1
23.36    0.00     0.00     0.00    63.40 1929  1
20.80    0.00     0.00     0.00    91.56 1930  1
20.39    0.00     0.00     0.00    79.52 1931  1
22.13    0.00     0.00     0.00    77.96 1932  1
34.53    0.00     0.00     0.00    51.34 1933  1
30.69    0.00     0.00     0.00    60.23 1934  1
29.76    0.00     0.00     0.00    68.36 1935  1
25.17    0.00     0.00     0.00    85.48 1936  1
35.89    0.00     0.00     0.00    67.63 1937  1
33.27    0.00     0.00     0.00    50.56 1938  1
41.69    0.00     0.00     0.00    34.89 1939  1
75.27    0.00     0.00     0.00    45.37 1940  1
93.58    0.00     0.00     0.00    35.94 1941  1
133.37   0.00     0.00     0.00    13.27 1942  1
468.72   0.00     0.00     0.00    21.91 1943  1
921.32   0.00     0.00     0.00    39.37 1944  1
1553.45  0.00     0.00     0.00    67.92 1945  1
1089.08  0.00     0.00     0.00    70.98 1946  1
551.20   0.00     0.00     0.00    92.01 1947  1
436.80   0.00     0.00     0.00    40.86 1948  1
329.83   0.00     0.00     0.00    44.52 1949  1
359.46   0.00     0.00     0.00    64.15 1950  1
504.25   0.00     0.00     0.00    49.69 1951  1
501.06   0.00     0.00     0.00    40.42 1952  1
455.27   0.00     0.00     0.00    14.03 1953  1
426.22   0.00     0.00     0.00    21.71 1954  1
446.34   0.00     0.00     0.00    18.65 1955  1
